Sample,AvgAdjConc(copies/sample)
WVB_BAL_B1,1163.333333
WVB_BAL_B10,2106.666667
WVB_BAL_B2,669.6666667
WVB_BAL_B3,1630
WVB_BAL_B4,1403.333333
WVB_BAL_B5,1716.666667
WVB_BAL_B6,1116.666667
WVB_BAL_B7,2120
WVB_BAL_B8,1030
WVB_BAL_B9,2826.666667
WVB_CLEAN_RINSE_1,976.6666667
WVB_CLEAN_RINSE_2,1062.333333
WVB_HomogCtrl_1,1140
WVB_HomogCtrl_2,1650
J_IsoCtrl_1,488
J_IsoCtrl_2,555.3333333
J_IsoCtrl_3,317.3333333
J_IsoCtrl_4,683
J_IsoCtrl_5,776.6666667
J_IsoCtrl_6,800.6666667
WVB_Lung_L1,28983.33333
WVB_Lung_L10,43666.66667
WVB_Lung_L2,34150
WVB_Lung_L3,22916.66667
WVB_Lung_L4,46500
WVB_Lung_L5,34300
WVB_Lung_L6,39316.66667
WVB_Lung_L7,20150
WVB_Lung_L8,41916.66667
WVB_Lung_L9,115500
NTC,527.3333333
NTC,726.6666667
NTC,1806.666667
NTC,598
WVB_PBS_1,728.3333333
WVB_PBS_2,1053.333333
WVB_USED_RINSE_1,1066.666667
WVB_USED_RINSE_2,1196.666667